repository,commit,type,before,after
"jq","0c93eb3379241dc4775718a9d39f54a6c4de20d6","MOVE","{File jq.h at jq.h:1}","{File jq.h at src/jq.h:1})"
"jq","0c93eb3379241dc4775718a9d39f54a6c4de20d6","MOVE","{File jv_aux.c at jv_aux.c:1}","{File jv_aux.c at src/jv_aux.c:1})"
"jq","0c93eb3379241dc4775718a9d39f54a6c4de20d6","MOVE","{File compile.c at compile.c:1}","{File compile.c at src/compile.c:1})"
"jq","0c93eb3379241dc4775718a9d39f54a6c4de20d6","MOVE","{File lexer.h at lexer.h:1}","{File lexer.h at src/lexer.h:1})"
"emscripten","987d0010a9dec5772a3217a1013b7e13940fee8b","MOVE","{File divdi3.c at system/lib/compiler-rt/divdi3.c:1}","{File divdi3.c at system/lib/compiler-rt/lib/builtins/divdi3.c:1})"
"emscripten","987d0010a9dec5772a3217a1013b7e13940fee8b","MOVE","{File udivmoddi4.c at system/lib/compiler-rt/udivmoddi4.c:1}","{File udivmoddi4.c at system/lib/compiler-rt/lib/builtins/udivmoddi4.c:1})"
"emscripten","987d0010a9dec5772a3217a1013b7e13940fee8b","MOVE","{File muldi3.c at system/lib/compiler-rt/muldi3.c:1}","{File muldi3.c at system/lib/compiler-rt/lib/builtins/muldi3.c:1})"
"emscripten","987d0010a9dec5772a3217a1013b7e13940fee8b","MOVE","{Function compilerrt_abort_impl(char, int, char) at system/lib/compiler-rt/int_util.h:26}","{Function compilerrt_abort_impl(char, int, char) at system/lib/compiler-rt/lib/builtins/int_util.h:25})"
"emscripten","987d0010a9dec5772a3217a1013b7e13940fee8b","MOVE","{File divsc3.c at system/lib/compiler-rt/divsc3.c:1}","{File divsc3.c at system/lib/compiler-rt/lib/builtins/divsc3.c:1})"
"emscripten","987d0010a9dec5772a3217a1013b7e13940fee8b","MOVE","{File int_endianness.h at system/lib/compiler-rt/int_endianness.h:1}","{File int_endianness.h at system/lib/compiler-rt/lib/builtins/int_endianness.h:1})"
"emscripten","987d0010a9dec5772a3217a1013b7e13940fee8b","MOVE","{Function __udivmoddi4(du_int, du_int, du_int) at system/lib/compiler-rt/divdi3.c:17}","{Function __udivmoddi4(du_int, du_int, du_int) at system/lib/compiler-rt/lib/builtins/int_lib.h:87})"
"emscripten","987d0010a9dec5772a3217a1013b7e13940fee8b","MOVE","{File int_types.h at system/lib/compiler-rt/int_types.h:1}","{File int_types.h at system/lib/compiler-rt/lib/builtins/int_types.h:1})"
"emscripten","987d0010a9dec5772a3217a1013b7e13940fee8b","MOVE","{File muldc3.c at system/lib/compiler-rt/muldc3.c:1}","{File muldc3.c at system/lib/compiler-rt/lib/builtins/muldc3.c:1})"
"emscripten","987d0010a9dec5772a3217a1013b7e13940fee8b","MOVE","{File divdc3.c at system/lib/compiler-rt/divdc3.c:1}","{File divdc3.c at system/lib/compiler-rt/lib/builtins/divdc3.c:1})"
"emscripten","987d0010a9dec5772a3217a1013b7e13940fee8b","MOVE","{File mulsc3.c at system/lib/compiler-rt/mulsc3.c:1}","{File mulsc3.c at system/lib/compiler-rt/lib/builtins/mulsc3.c:1})"
"emscripten","987d0010a9dec5772a3217a1013b7e13940fee8b","MOVE","{File udivdi3.c at system/lib/compiler-rt/udivdi3.c:1}","{File udivdi3.c at system/lib/compiler-rt/lib/builtins/udivdi3.c:1})"
"ijkplayer","8c7ba1800a898ad780135f1ebd21fb62ddf8a56f","MOVE","{File loghelp.c at ijkmedia/ijkutil/loghelp.c:1}","{File loghelp.c at ijkmedia/ijkutil/android/loghelp.c:1})"
"ijkplayer","8c7ba1800a898ad780135f1ebd21fb62ddf8a56f","MOVE","{File ijkutil_android.h at ijkmedia/ijkutil/ijkutil_android.h:1}","{File ijkutil_android.h at ijkmedia/ijkutil/android/ijkutil_android.h:1})"
"ijkplayer","8c7ba1800a898ad780135f1ebd21fb62ddf8a56f","MOVE","{File loghelp.h at ijkmedia/ijkutil/loghelp.h:1}","{File loghelp.h at ijkmedia/ijkutil/android/loghelp.h:1})"
